crn	r0	r1	r2
0	1211	1202	0112
1	0012	0011	0001
10	0222	0111	0002
100	0111	0200	0022
101	0111	0201	0022
102	0211	0002	0001
103	0211	0102	0012
104	0211	0102	0011
105	0211	0100	0012
106	0211	0201	0002
107	0211	0100	0002
108	0211	0112	0102
109	1112	1200	0112
11	0222	0012	0001
110	1101	1200	0112
111	1112	1200	0111
112	1112	1100	0111
113	0211	0102	0002
114	0211	0112	0100
115	0211	0102	0001
116	1101	1100	0112
117	0111	0102	0001
118	0111	0102	0011
119	1112	0111	0100
12	0212	0012	0001
120	0112	0100	0011
121	1100	0112	0111
122	0111	0102	0200
123	0122	0111	0201
124	1222	1200	0112
125	0122	0111	0200
126	1211	1200	0112
127	1102	1200	0112
128	0212	0211	0102
129	1122	1200	0112
13	0212	0012	0011
130	0102	0200	0011
131	1200	0112	0111
132	1200	0122	0112
133	0212	0102	0200
134	0212	0102	0100
135	0102	0100	0011
136	1211	1202	0122
137	0211	0122	0102
138	1211	1200	0122
139	1211	0122	0100
14	0200	0012	0001
140	1211	1100	0122
141	0211	0122	0100
142	1201	1200	0112
143	0211	0102	0100
144	0211	0201	0102
145	0211	0102	0200
15	0111	0011	0002
16	0211	0111	0002
17	0211	0111	0012
18	0111	0200	0012
19	0111	0201	0012
2	0022	0012	0001
20	0111	0012	0011
21	0111	0201	0002
22	0111	0200	0002
23	0111	0022	0002
24	0111	0022	0012
25	0112	0111	0022
26	0212	0211	0002
27	0212	0201	0002
28	0212	0011	0002
29	0222	0111	0012
3	0022	0011	0002
30	0222	0112	0111
31	1222	0112	0100
32	0122	0112	0100
33	1202	0112	0100
34	1202	0112	0111
35	0201	0012	0001
36	0211	0012	0001
37	0212	0111	0002
38	0212	0111	0012
39	0212	0112	0111
4	0012	0011	0002
40	0122	0112	0111
41	0111	0012	0001
42	0111	0012	0002
43	0212	0112	0100
44	0112	0102	0100
45	0112	0111	0200
46	0112	0111	0100
47	0112	0111	0102
48	0112	0111	0002
49	0112	0111	0001
5	0012	0002	0001
50	0112	0111	0011
51	0112	0111	0012
52	0122	0111	0002
53	0122	0111	0012
54	0111	0100	0012
55	0111	0102	0012
56	0112	0111	0201
57	0122	0111	0102
58	0111	0102	0100
59	1102	0111	0100
6	0022	0002	0001
60	1102	0112	0100
61	1112	0112	0100
62	1202	0111	0102
63	1200	0112	0100
64	1201	0112	0100
65	1211	0112	0100
66	0211	0112	0111
67	1100	0112	0100
68	1122	0112	0100
69	1101	0112	0100
7	0011	0002	0001
70	0111	0100	0002
71	0111	0002	0001
72	0111	0102	0002
73	0100	0011	0002
74	0111	0102	0022
75	0211	0102	0022
76	0211	0111	0022
77	1200	1100	0112
78	1211	1100	0112
79	1102	1100	0111
8	0212	0002	0001
80	1102	1200	0111
81	0222	0211	0102
82	0222	0111	0102
83	1200	0111	0102
84	1201	0111	0102
85	1200	0112	0102
86	0211	0012	0002
87	0201	0012	0002
88	0201	0011	0002
89	0212	0111	0102
9	0022	0012	0011
90	0211	0111	0102
91	1100	0111	0102
92	0100	0012	0011
93	0200	0012	0011
94	0211	0022	0001
95	1202	1200	0112
96	0111	0201	0102
97	0112	0201	0100
98	1200	0122	0111
99	0211	0122	0111
